voxel,face,place,object,x,y,z,subject,class,cluster
2960,-9.98476324924677e-5,-4.4102603014202705e-5,1.439502355066704e-4,-54.129,60.815,18.113,8,object,3
2963,-1.1730685651411794e-4,1.877882475825947e-4,-7.048139106847677e-5,-25.292,62.091,16.811,8,place,2
2964,-8.368805752882375e-5,1.2019639112299539e-4,-3.650833359417163e-5,-21.687,62.25,16.648,8,place,2
2971,-4.521145734158878e-5,-8.06523842997996e-5,1.2586384164138838e-4,54.011,65.6,13.23,8,object,3
2976,-6.374579060628098e-5,1.149666770697619e-4,-5.122088646348092e-5,-21.869,66.001,16.806,8,place,2
2978,1.0935779909908233e-4,-2.792437596234287e-5,-8.143342313673948e-5,-0.24119,66.957,15.829,8,face,1
2980,-1.0373190053353896e-4,9.541938988439041e-5,8.312510649148537e-6,14.177,67.595,15.178,8,place,2
2985,-1.1813748036757593e-4,4.546648029923691e-5,7.267100006833902e-5,-36.47,69.113,17.614,8,place,2
2991,-1.0105728346451426e-4,8.520230867340621e-5,1.5854974791108053e-5,13.995,71.345,15.336,8,place,2
2999,-9.58997282695722e-5,5.8498046943234125e-5,3.7401681326338063e-5,-40.257,72.703,17.935,8,place,2
3009,5.696988825743137e-5,-1.3603153065270876e-4,7.90616423952774e-5,28.232,75.733,14.842,8,object,3
3011,-9.676846757782046e-6,-7.97340142089227e-5,8.941086096670475e-5,35.441,76.051,14.517,8,object,3
3012,-1.714677754753629e-5,-1.4552401915904098e-4,1.6267079670657724e-4,39.046,76.211,14.354,8,object,3
3013,-1.2641686777878429e-4,6.136228655146586e-5,6.505458122731844e-5,-33.23,76.772,17.767,8,place,2
3016,6.517434258563709e-5,-1.7611183297337564e-4,1.1093749038773855e-4,-18.811,77.41,17.116,8,object,3
3017,-3.377847155402899e-6,-1.7241036380563615e-4,0.00017578821096103908,-15.207,77.569,16.953,8,object,3
3039,1.2694560128984406e-5,-1.2847246920157288e-4,1.1577790907258847e-4,17.053,82.754,15.646,8,object,3
3042,-1.6180938471688225e-4,8.30302655632749e-5,7.877911915360734e-5,-33.594,84.272,18.082,8,place,2
305,1.227223059753517e-4,-3.979333257261907e-6,-1.187429727180898e-4,27.64,42.172,-25.391,8,face,1
306,9.851479596173802e-5,-1.9803040380528392e-5,-7.871175558120962e-5,31.245,42.331,-25.554,8,face,1
3068,1.8037981483027307e-4,-2.560707316722639e-4,7.569091684199081e-5,13.223,-56.864,14.17,8,object,3
3077,-2.3116146525595915e-7,-1.0682590375963841e-4,1.0705706522489438e-4,-4.9823,-53.911,15.142,8,object,3
3081,-1.375770497594604e-5,-1.5092722682514404e-4,1.6468493180109007e-4,13.041,-53.114,14.328,8,object,3
3089,-3.3305896264673386e-5,-1.2419455889134835e-4,1.5750045515602174e-4,-5.1645,-50.161,15.299,8,object,3
3104,-6.561339288514206e-5,6.9419439403750765e-6,5.8671448944766977e-5,41.514,-44.339,13.34,8,place,2
3110,-4.2515917095776994e-5,-1.3351643629927863e-5,5.586756072570485e-5,1.6803,-42.342,15.288,8,place,2
3120,-5.328039435368457e-5,-5.688743392531438e-5,1.1016782827899894e-4,-2.1066,-38.752,15.609,8,object,3
3123,-3.0844836144435054e-5,8.632128380584912e-5,-5.547644766141406e-5,37.545,-36.998,13.819,8,place,2
313,1.1539127311346859e-4,-1.0341599920863825e-5,-1.0504967319260477e-4,27.458,45.922,-25.233,8,face,1
3130,-5.693178718008599e-5,-5.94475057194004e-6,6.287653775202601e-5,-42.122,-33.006,17.714,8,place,2
314,1.1907981562511045e-4,-4.440122754240873e-5,-7.467858808270172e-5,31.063,46.081,-25.396,8,face,1
320,1.919935564835013e-4,-1.0173172064538155e-4,-9.026183583811974e-5,30.881,49.831,-25.238,8,face,1
321,1.4981632793027705e-4,-1.0766033862385707e-4,-4.2155989306419967e-5,34.485,49.99,-25.402,8,face,1
3244,1.2086966112058589e-4,-4.0137181671384105e-5,-8.073247944920179e-5,58.404,54.115,16.46,8,face,1
3248,-1.1433864175248473e-4,1.6722828700461097e-4,-5.2889645252126234e-5,-17.476,54.517,20.036,8,place,2
3256,-6.893997297951201e-5,1.8423602285865678e-4,-1.1529604987914475e-4,-24.868,57.948,20.52,8,place,2
3259,-8.839474662389974e-6,-1.442545172115425e-4,1.530939918739325e-4,43.621,60.977,17.427,8,object,3
3260,3.1556556639727266e-5,-1.9040943733352389e-4,1.588528806937966e-4,47.225,61.137,17.264,8,object,3
3261,3.2899586716384133e-5,-1.804284320686905e-4,1.4752884535230635e-4,50.83,61.296,17.101,8,object,3
3267,-1.0325043720843314e-4,1.297690765947734e-4,-2.651863938634027e-5,-21.446,61.857,20.514,8,place,2
3268,-7.145680021837312e-5,1.1501480251641127e-4,-4.3558002298038155e-5,-17.841,62.017,20.351,8,place,2
3271,8.572405980901974e-5,-1.527512478432036e-4,6.702718803418388e-5,39.834,64.568,17.747,8,object,3
3273,-6.104017117893746e-5,-1.0999701696986052e-4,1.7103718814879797e-4,47.043,64.886,17.422,8,object,3
3274,-4.704932780801665e-5,-8.930911616478827e-5,1.3635844397280492e-4,50.648,65.046,17.259,8,object,3
3275,-1.0816004006193347e-4,-4.6871386730197995e-5,1.5503142679213148e-4,54.252,65.206,17.096,8,object,3
3276,-5.605105733883749e-5,-1.0267361891062057e-4,1.5872467624945805e-4,-50.465,64.331,21.974,8,object,3
3280,1.4629866577645336e-4,-1.070844574082002e-5,-1.3559022003563332e-4,-3.6045,66.404,19.858,8,face,1
3281,1.1404451713069583e-4,-1.88054270337734e-5,-9.523909009692244e-5,1.6258e-4,66.563,19.695,8,face,1
3287,-6.78751645562788e-5,-8.826771320856573e-5,1.5614287776484452e-4,-54.252,67.922,22.294,8,object,3
3288,-6.0467480044308065e-5,-6.9477340023488775e-05,1.2994482006779685e-4,-50.647,68.081,22.132,8,object,3
3292,-5.234348645757403e-5,1.9833694274862552e-4,-1.459934562910515e-4,-29.019,69.038,21.155,8,place,2
3295,1.4412792020670865e-4,-3.9023487341930065e-5,-1.051044328647786e-4,-0.18207,70.314,19.853,8,face,1
3305,1.2457989638135122e-6,1.4802233660789733e-4,-1.4926813557171082e-4,-32.806,72.629,21.475,8,place,2
3306,-1.0717050019093797e-5,9.96013116303072e-5,-8.888426161121339e-5,-29.202,72.788,21.312,8,place,2
3319,-5.0217374346016225e-5,1.1178686649110488e-4,-6.156949214508864e-5,-29.384,76.537,21.47,8,place,2
3321,-3.9645040423416036e-5,-1.2443291403712797e-4,1.6407795446054402e-4,-14.965,77.175,20.819,8,object,3
3329,-8.448940321352485e-5,-1.3989966952519166e-4,2.243890727387165e-4,35.5,79.408,18.54,8,object,3
3330,-3.795166246105861e-5,1.266768159773226e-4,-8.8725153516264e-5,-29.566,80.288,21.627,8,place,2
3341,-9.315757816734209e-5,1.6756739623233617e-4,-7.440981806499408e-5,-29.748,84.037,21.785,8,place,2
3350,1.090477744324381e-4,-1.5312518018112097e-4,4.407740574868285e-5,13.647,-61.007,17.878,8,object,3
3361,-4.445937005049539e-5,-2.905577938515671e-5,7.35151494356521e-5,-15.555,-54.783,19.496,8,object,3
3373,2.3756757837075582e-5,-1.520346822534857e-4,1.282779244164101e-4,13.1,-49.758,18.351,8,object,3
3374,2.8662005176363794e-5,-1.1819417525390641e-4,8.953217007754262e-5,16.705,-49.598,18.187,8,object,3
339,8.268359075229263e-5,9.075822699617977e-5,-1.734418177484724e-4,-37.873,-17.5,-20.797,8,face,1
